Id	class	plant	Centroid_Size	Log_Centroid_Size	Symm1	Symm2	Symm3	Symm4	Symm5	Symm6	Symm7	Symm8	Symm9	Symm10	Symm11	Symm12	Symm13	Symm14	Symm15	Symm16	Symm17	Symm18	Symm19	Symm20	Symm21	Symm22	Symm23	Symm24	Symm25	Symm26
34	Pen	34	15.83633326520649	2.7604808359398687	-0.439771713726077	0.0992943297820885	-0.43977171372607704	-0.0992943297820885	-0.3415430999077533	0.0	-0.09372893069061977	0.07479353890822502	-0.09372893069061977	-0.07479353890822502	0.1418833208023486	0.15902593733390805	0.1418833208023486	-0.15902593733390805	-0.034944486689836324	0.05497728564615782	-0.03494448668983632	-0.05497728564615782	0.26118688318157723	0.0	0.2573304738158819	0.0888006610131172	0.257330473815882	-0.0888006610131172	0.418818889702781	0.0
35	Pen	35	16.53393286953691	2.805024913916946	-0.4167362848934095	0.0807084571985188	-0.4167362848934095	-0.0807084571985188	-0.3207218058404353	0.0	-0.12054703361845272	0.07200592243064541	-0.12054703361845272	-0.07200592243064541	0.17217548515813452	0.18920999338884426	0.17217548515813452	-0.18920999338884423	-0.06875187928039533	0.05473419399499585	-0.06875187928039533	-0.05473419399499585	0.24473162473590182	0.0	0.2501162295628752	0.08217410725799998	0.25011622956287527	-0.08217410725799998	0.44347714724702914	0.0
36	Hib	36	22.98010361036194	3.134357108885103	-0.41186958196658197	0.08348719204572622	-0.41186958196658197	-0.08348719204572622	-0.3360918606074781	0.0	-0.09064093386271374	0.0625426829348723	-0.09064093386271373	-0.0625426829348723	0.06829767796791518	0.1463711313418549	0.06829767796791518	-0.14637113134185487	-0.04100545427453479	0.04357235434720427	-0.04100545427453478	-0.04357235434720427	0.24008664841019922	0.0	0.28080804200525833	0.0726857803577401	0.28080804200525833	-0.07268578035774009	0.48482571245859296	0.0
37	Pen	37	15.958265415733791	2.768465758587301	-0.4314182796002734	0.09204793933829732	-0.4314182796002734	-0.09204793933829732	-0.33951106979418877	0.0	-0.09225304387774186	0.0556019636299512	-0.09225304387774186	-0.0556019636299512	0.13611312494930644	0.19049609494873723	0.13611312494930644	-0.19049609494873723	-0.041791367757763515	0.0474671958973775	-0.041791367757763515	-0.0474671958973775	0.2748283477213252	0.0	0.2466554101183447	0.07972842430853862	0.2466554101183447	-0.0797284243085386	0.430071034409119	0.0
38	Lax	38	40.47859664264102	3.7007606988697805	-0.3419330207269984	0.05490586067282649	-0.3419330207269984	-0.05490586067282649	-0.2985862313221841	0.0	-0.11122020718566905	0.0444819607606673	-0.11122020718566905	-0.0444819607606673	-0.024913875189145958	0.09889508281840026	-0.024913875189145958	-0.09889508281840026	-0.06763570106172011	0.0320643520840419	-0.06763570106172012	-0.0320643520840419	0.16634465372821733	0.0	0.26923466787594547	0.08377976507454965	0.26923466787594547	-0.08377976507454965	0.6851778501691428	0.0
39	Hib	39	28.474033384696526	3.348818025589172	-0.3600050756589662	0.061196397035803346	-0.3600050756589662	-0.061196397035803346	-0.2983019725146073	0.0	-0.10483319057705556	0.06025487769856087	-0.10483319057705554	-0.06025487769856086	0.010721824292160557	0.14259838106595502	0.010721824292160557	-0.14259838106595504	-0.057188225334548135	0.03743173560731673	-0.057188225334548135	-0.03743173560731673	0.17508653293999163	0.0	0.25405260390539386	0.08777613379768814	0.25405260390539386	-0.08777613379768814	0.6377195663206464	0.0
40	Pen	40	16.01707026582268	2.773610467238191	-0.4375975023319474	0.0980363779173126	-0.4375975023319474	-0.0980363779173126	-0.33980873866951267	0.0	-0.11596991640431437	0.07272777595605312	-0.11596991640431434	-0.07272777595605313	0.20560772304126596	0.13556566934106662	0.20560772304126596	-0.13556566934106662	-0.06659272240140032	0.0535605768751471	-0.06659272240140034	-0.0535605768751471	0.278109644258122	0.0	0.23403105562263865	0.0788595138068657	0.23403105562263865	-0.0788595138068657	0.42274181935890554	0.0
41	Hib	41	30.057385771385217	3.4031084135231913	-0.36350263579276054	0.05553725101327802	-0.36350263579276054	-0.05553725101327803	-0.285446053615191	0.0	-0.12470485193769296	0.051520459800939486	-0.12470485193769296	-0.051520459800939486	0.08061608248257371	0.16361670742141698	0.08061608248257371	-0.16361670742141698	-0.0758236680533708	0.04005613033954279	-0.0758236680533708	-0.04005613033954279	0.20087392395422704	0.0	0.20632887150800694	0.08218118005297381	0.20632887150800694	-0.08218118005297381	0.6387445332474514	0.0
42	Pen	42	17.5669735478329	2.865985798249376	-0.425119711016801	0.10128816367096467	-0.42511971101680107	-0.10128816367096467	-0.3369029834531839	0.0	-0.1362292513785151	0.07314427667712312	-0.1362292513785151	-0.07314427667712312	0.24154309362884618	0.1261424671892562	0.24154309362884618	-0.1261424671892562	-0.0825101801905325	0.0520093753910693	-0.0825101801905325	-0.0520093753910693	0.22503336038805044	0.0	0.23736415894062185	0.08585544797669967	0.23736415894062185	-0.08585544797669967	0.4417734030978946	0.0
43	Pen	43	19.34540163869043	2.962454749823249	-0.4345014371051028	0.08636865644097784	-0.4345014371051028	-0.08636865644097785	-0.34639763581194505	0.0	-0.11164397798982519	0.057411270218812836	-0.11164397798982519	-0.05741127021881284	0.2227586545594438	0.21958692858998005	0.2227586545594438	-0.21958692858998002	-0.06011847736468305	0.04640306897097918	-0.06011847736468306	-0.04640306897097917	0.2566991455989396	0.0	0.2254344535724814	0.06908791094286221	0.22543445357248137	-0.06908791094286221	0.40584005886837726	0.0
44	Pen	44	17.72544906534192	2.8750014072364394	-0.4387623712136343	0.09775685629267361	-0.4387623712136343	-0.09775685629267361	-0.357592330397961	0.0	-0.10745549097655455	0.059348239509731365	-0.10745549097655455	-0.059348239509731365	0.18187495486522148	0.11710202268044159	0.18187495486522148	-0.1171020226804416	-0.05230327233937698	0.04936724529096545	-0.052303272339376976	-0.04936724529096544	0.2531050591620366	0.0	0.2540283281503874	0.06983101540653514	0.2540283281503874	-0.06983101540653514	0.42972297426383843	0.0
46	Pen	46	17.588567691730724	2.866961851424805	-0.42601459853632173	0.1017146674660444	-0.42601459853632173	-0.1017146674660444	-0.3441635205768665	0.0	-0.09820905223632953	0.060066385418326367	-0.09820905223632953	-0.06006638541832637	0.10528325434647129	0.1579040176124854	0.10528325434647129	-0.1579040176124854	-0.03462907015360449	0.05306180655615546	-0.034629070153604495	-0.05306180655615546	0.2842529554854756	0.0	0.26455092443804706	0.06668606430552756	0.26455092443804706	-0.06668606430552756	0.43794764937486574	0.0
47	Hib	47	25.89564632756554	3.2533898858553356	-0.3826588615161181	0.07217784638580221	-0.3826588615161181	-0.07217784638580221	-0.3114266223389921	0.0	-0.11234429870441909	0.05248771270685918	-0.11234429870441909	-0.05248771270685918	0.07365137718586141	0.14188385027949127	0.07365137718586141	-0.14188385027949127	-0.0676240332129002	0.03807600772192904	-0.06762403321290018	-0.03807600772192904	0.19714602897185948	0.0	0.26419573790282747	0.07366642283305895	0.26419573790282747	-0.07366642283305895	0.5638407500566297	0.0
48	Hib	48	25.219355558488736	3.2274519518311395	-0.4014433371448982	0.07708162411242077	-0.40144333714489827	-0.07708162411242078	-0.3374463477684971	0.0	-0.08828191693121742	0.05879102126865159	-0.08828191693121744	-0.05879102126865159	0.03872510169060334	0.1298141313723027	0.03872510169060335	-0.1298141313723027	-0.03761492012882022	0.0434324537114095	-0.03761492012882023	-0.0434324537114095	0.2446489390124763	0.0	0.2742148351401321	0.0750318812757404	0.2742148351401321	-0.0750318812757404	0.5215978835044214	0.0
49	Hib	49	28.262065163413595	3.3415178551968365	-0.371950910228072	0.05242920489262306	-0.3719509102280719	-0.05242920489262306	-0.2860732061771753	0.0	-0.12386999151320173	0.044160237852964114	-0.12386999151320173	-0.044160237852964114	0.05337550222600744	0.1295698893893602	0.05337550222600744	-0.1295698893893602	-0.07530868415641578	0.03449094978834145	-0.07530868415641578	-0.03449094978834145	0.1888058766870151	0.0	0.258156623062669	0.06550165905087928	0.258156623062669	-0.06550165905087928	0.6164622507081858	0.0
50	Pen	50	17.12375147509619	2.8403554049433	-0.4307432821975196	0.0752898496725002	-0.4307432821975196	-0.0752898496725002	-0.3318438882589905	0.0	-0.11535435529205718	0.05211052139301238	-0.11535435529205718	-0.05211052139301238	0.1747032878904935	0.17297178534616003	0.1747032878904935	-0.17297178534616003	-0.05614080447106605	0.05094441075706058	-0.05614080447106605	-0.05094441075706059	0.24936577814061334	0.0	0.25186445490306236	0.07600487284520441	0.25186445490306236	-0.07600487284520441	0.43381950845255085	0.0
